Year,TWDBSurveyNo,PermitHolder,Latitude,Longitude,SourceType,UseType,SS_Pur,County,AquiferName,SurfaceWaterSource,SellerName,NAICS,Saline,Estimated,Volume,RelatedtoCOG
1980,851650,TEXAS UTILITIES ELECTRIC COMPANY-MORGAN CREEK PLANT,NA,NA,Surface,Industrial,Ss,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,NA,221112,No,No,208182000000,No
1983,851650,TEXAS UTILITIES ELECTRIC COMPANY-MORGAN CREEK PLANT,NA,NA,Surface,Industrial,Ss,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,NA,221112,No,No,204000000000,No
1981,851650,TEXAS UTILITIES ELECTRIC COMPANY-MORGAN CREEK PLANT,NA,NA,Surface,Industrial,Ss,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,NA,221112,No,No,198000000000,No
1982,851650,TEXAS UTILITIES ELECTRIC COMPANY-MORGAN CREEK PLANT,NA,NA,Surface,Industrial,Ss,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,NA,221112,No,No,168000000000,No
2006,619550,CITY OF ODESSA,NA,NA,Reuse,Municipal,Ss,ECTOR,NA,UNKNOWN,NA,NA,NA,NA,10422134000,No
1998,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Groundwater,Municipal,Pur,MARTIN,OGALLALA AQUIFER,NA,MARTIN COUNTY FIELD,NA,NA,NA,8204527000,No
1999,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,8202166000,No
1982,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,8136831839,No
2000,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,8070557700,No
2002,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,8038423000,No
2008,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,7867365420,No
2005,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,J B THOMAS LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,7855233000,No
1983,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,7761770820,No
2000,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,7727389000,No
1981,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,7714555100,No
2003,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,Pur,LUBBOCK,OGALLALA AQUIFER,NA,CANADIAN RIVER MWA,NA,NA,NA,7547231000,No
2004,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,MIDLAND,NA,O.H. IVIE LAKE/RESERVOIR,O H IVEY RESERVOIR,NA,NA,NA,7526079000,No
2001,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,7514643000,No
2008,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,7461940000,No
2018,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,Colorado River,CRMWD,NA,NA,NA,7321110900,No
2009,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,7268540000,No
2002,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,7237000000,No
2009,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,7209935600,No
2001,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,7128957550,No
2006,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,7093376400,No
1999,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6975464900,No
2010,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6966035500,No
2007,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,MIDLAND,NA,J B THOMAS LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,6936432000,No
2005,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6912535600,No
1988,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,6889532863,No
2008,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6852159900,No
2011,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT (MIDLAND),NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6826159000,No
2011,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,6787297000,No
2006,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,6641880000,No
1990,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,6594344400,No
2007,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6531498900,No
2004,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR,NA,NA,NA,6500975900,No
2010,565400,CITY OF MIDLAND-UTILITIES DEPARTMENT,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,E V SPENCE RESERVOIR 14040,NA,NA,NA,6443298000,No
2005,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Surface,Municipal,Pur,LUBBOCK,NA,MEREDITH LAKE/RESERVOIR,CANADIAN RIVER MWA,NA,NA,NA,6379920000,No
1987,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,6371397189,No
1989,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,6365368946,No
2017,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,Colorado River,CRMWD,NA,NA,NA,6269399200,No
2010,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,6149730000,No
2011,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,O.H. IVIE LAKE/RESERVOIR,SPENCE IVY & THOMAS,NA,NA,NA,6129198000,No
2007,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,6075140000,No
2014,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,O.H. IVIE LAKE/RESERVOIR,SPENCE IVY & THOMAS,NA,NA,NA,6006100100,No
2016,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,Colorado River,CRMWD,NA,NA,NA,6000778996,No
2013,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,O.H. IVIE LAKE/RESERVOIR,SPENCE IVY & THOMAS,NA,NA,NA,5997839800,No
2009,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5988000000,No
1991,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,5986143700,No
1980,6650,CITY OF ABILENE,NA,NA,Surface,Municipal,Ss,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,NA,NA,NA,NA,5979366000,No
2012,518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,NA,NA,Reuse,Municipal,Ss,LUBBOCK,NA,UNKNOWN,NA,NA,NA,NA,5923010000,No
2015,619550,CITY OF ODESSA,NA,NA,Surface,Municipal,Pur,ECTOR,NA,Colorado River,CRMWD,NA,NA,NA,5874983500,No
